iteration,surge_mult,discount_mult,growth,congestion_risk,congestion_mitigation_rate,revenue_lift_inr
1,1.25,0.7,7.20197471308073,0.3969677967679251,30.655196760322045,18641552.49846864
2,1.25,0.75,7.626050028097296,0.3969628586269607,30.65605938549299,19739226.75631177
3,1.25,0.8,8.038179559592267,0.3969583487720667,30.6568471949899,20805980.612525523
4,1.25,0.85,8.438363307565643,0.3969542297986762,30.65756672287514,21841814.067109883
5,1.25,0.9,8.826601272017422,0.3969504675811042,30.658223930435547,22846727.12006485
6,1.3,0.7,8.906682904598744,0.3852838291588526,32.69622487773272,23054009.98586225
7,1.3,0.75,9.330758219615332,0.3852788910178882,32.69708750290366,24151684.24370545
8,1.3,0.8,9.74288775111028,0.3852743811629942,32.69787531240059,25218438.09991914
9,1.3,0.85,10.143071499083678,0.3852702621896036,32.698594840285836,26254271.55450356
10,1.3,0.9,10.531309463535434,0.3852664999720318,32.69925204784621,27259184.607458472
11,1.3333,0.7,10.004499517730531,0.377040494591248,34.136221820264474,25895592.58545363
12,1.3333,0.75,10.4285748327471,0.3770355564502835,34.13708444543543,26993266.843296766
13,1.3333,0.8,10.84070436424207,0.3770310465953895,34.13787225493235,28060020.699510515
14,1.3333,0.85,11.240888112215424,0.3770269276219991,34.13859178281757,29095854.15409481
15,1.3333,0.9,11.629126076667202,0.3770231654044272,34.13924899037795,30100767.207049787
16,1.35,0.7,10.541811169932366,0.3727847879612485,34.8796351180329,27286367.167648017
17,1.35,0.75,10.965886484948932,0.372779849820284,34.880497743203854,28384041.425491154
18,1.35,0.8,11.378016016443905,0.37277533996539,34.881285552700774,29450795.281704903
19,1.35,0.85,11.77819976441728,0.3727712209919995,34.882005080586005,30486628.736289263
20,1.35,0.9,12.16643772886906,0.3727674587744277,34.882662288146385,31491541.789244235
21,1.4,0.7,12.107359509081576,0.3594914759358256,37.20179352562158,31338624.043825865
22,1.4,0.75,12.53143482409812,0.3594865377948612,37.20265615079252,32436298.301668946
23,1.4,0.8,12.94356435559309,0.3594820279399672,37.20344396028945,33503052.15788269
24,1.4,0.85,13.343748103566464,0.3594779089665766,37.20416348817469,34538885.61246705
25,1.4,0.9,13.731986068018246,0.3594741467490047,37.204820695735094,35543798.66542202
